,ace_Arab,ace_Latn,ary_Arab,arz_Arab,bam_Latn,ban_Latn,ben_Beng,bho_Deva,bjn_Arab,bjn_Latn,bug_Latn,crh_Latn,dik_Latn,dzo_Tibt,fur_Latn,fuv_Latn,gug_Latn,hne_Deva,ita_Latn,kas_Arab,kas_Deva,knc_Arab,knc_Latn,lij_Latn,lim_Latn,lmo_Latn,ltg_Latn,mag_Deva,mni_Beng,mri_Latn,nqo_Nkoo,nus_Latn,pbt_Arab,prs_Arab,scn_Latn,shn_Mymr,spa_Latn,srd_Latn,szl_Latn,taq_Latn,taq_Tfng,vec_Latn,zgh_Tfng
ace_Arab,23.186163691937985,11.18854054905011,8.429617542655752,4.691825093990746,14.829539369013775,7.455551456301128,7.454669053490197,4.510890910365527,20.545621454794034,9.31138461496913,8.799444852933663,8.665807167576311,12.448929924435632,10.330579628982676,5.592412198870125,16.729643078119587,8.520836913679707,11.192259399129464,1.1162756748197353,14.201647606702911,14.896261342897285,14.771084555051447,9.805471294954165,7.134581856746055,2.4301157920383942,6.484882651896173,12.523252098245818,4.431341525089872,15.56893862125987,6.216510812379794,13.307532969987395,11.25422805483446,8.821191882978683,9.175642016780518,11.064150946109931,12.221280010243412,1.3321006210413284,9.130505220293038,9.368597697755142,16.472547598086265,4.221435689119979,7.930106629090458,9.872675073638172
ace_Latn,25.900125505274197,34.93149887516639,22.74455247704096,18.157208946179942,25.14898743511705,27.4343324365318,17.871692275267513,17.982372991191696,25.290882906345182,27.404643212014086,27.73528795887914,24.639745654215385,23.85750196048945,16.916084580956607,22.72720235730217,25.45163322138037,26.16093905395441,20.098405072502423,17.587342963888865,21.031827322236303,22.297097272743446,16.2630108489109,25.23547050403926,23.656379197222645,24.383971512616355,24.090268977439685,24.79983719944735,17.879456156331482,19.65260551525791,22.363674533553304,17.255349019346834,15.481485885188379,20.458380741426282,18.216949230431425,24.27733234085328,20.778645202954788,18.50887556361678,25.156279098337684,25.18941965918492,25.54847646067588,17.1059496880869,23.821578316416396,17.145790033301655
ary_Arab,25.425358710083195,29.440298255560894,38.05647483727675,34.61455181840306,20.24502780704993,27.430607174484837,28.70460909383445,29.45887103977193,28.098079098428606,30.464339698324665,24.726440355922918,29.617480970483484,11.28350231029798,1.3797129773528123,27.097716562676727,21.92262557547241,18.839651407588264,29.979501046973628,20.186564474690837,27.833483622175653,28.77888000375033,16.226950277528402,18.135926183828012,28.90229306751741,24.174989231283732,28.571742535247285,30.060831412236855,28.624067595178097,24.27472540234133,11.47758533428428,1.4075487428528175,1.7270279872822025,30.270356981530416,31.410888422389178,30.792128882891912,15.835980591180082,27.103531772814698,30.818721598332328,30.718721461180976,27.20247941563873,1.3687850779087414,30.237535957130714,1.3601728912020559
arz_Arab,27.89502481221658,33.557672252040966,39.60467565767586,41.50216652175916,21.340250767616272,30.544636551229303,32.75291203287784,33.88492224353149,30.633942192926412,34.41849444292494,27.756440159069783,33.61963707637017,10.073414761340258,1.281082265971672,31.013945883373477,22.730542503617123,21.34671638015661,33.544212486398344,29.811425701596516,31.93044841404647,31.306236445481044,17.222300269798847,17.45033058044635,32.552795344712656,28.032143397620313,32.41179073717974,33.057298281406425,32.80878417622414,27.48942977759084,15.137345456685535,1.2647507083907672,1.5675187025711474,34.328072837416435,35.87264036794133,33.929030946173086,15.325824187051056,32.34308511754186,33.97167909764002,34.1808030987121,29.72270716776354,1.2604613426787017,34.1811398034658,1.2545466600940942
bam_Latn,20.472243116457513,18.50610813601774,14.270799822011792,13.182348262744126,25.75769460515443,18.86949778442198,13.364852468239485,13.433004651128966,19.1026935234437,18.34190598287908,19.72686880174716,17.12471891478756,20.22009636022637,12.56216489553884,16.101799372350083,21.152235133231912,19.285598264779946,13.900823033080032,13.439546997587048,17.603106561275077,16.171009984712466,14.871293560611951,21.287673920436102,17.042761149741313,16.659052185066162,17.178507164889805,18.251080637751308,13.436541485227316,15.595433012417386,19.51972089616937,13.547738429453052,19.870287628898062,13.787434657241498,13.249909333030738,17.845640758879256,18.189833633354237,13.455186694439902,17.45469453669988,19.11622472394531,20.94714406467223,13.345725356750002,16.78269669814955,13.563239007521494
ban_Latn,27.805808474083133,30.763890678137113,25.59866205085543,21.951400426170643,26.582840696398275,42.12291863600241,21.13382449617454,20.896621295184598,27.63006297884205,32.280647000853016,31.281559700564404,28.346145188028466,24.359392351830873,18.378225093136745,25.714503651876374,26.975130823080494,26.290978578853398,20.64267072852729,19.819923665604584,22.93819784204442,24.77145303139413,16.6215294611483,27.289851229157314,26.10452609511078,27.278936075406257,27.184079435070487,27.675781398432676,19.812248474601038,20.95774173001403,23.149926193428737,18.594197331069807,14.469604231526601,24.649168608359854,21.12208082179396,27.493838013034676,21.864118433772834,21.916410652641538,28.604664795076463,28.941892903615013,27.850972627451913,18.40333187086431,27.74019896484317,18.40916168861828
ben_Beng,24.829905056700095,23.75043700903467,29.607966544149907,27.905713779998653,11.22926494506203,23.772385572427744,39.81681891101208,34.24836894179622,27.712607028089227,27.754306838916044,16.48751806012055,33.72040094116181,2.9182813170658486,1.1154324125676967,8.162095695408032,11.901425904041202,3.2247373163245614,33.7726976407399,11.352381211144516,30.07950757600821,29.751245892454868,16.371457433864023,10.754184808607295,22.07519036859636,21.43404338859341,18.15020908666338,31.47015853324735,33.86043714414998,34.07740735561031,5.093100991052033,8.852698926524695,1.2943160085634902,32.817336541413404,31.132734017125223,26.703923440969557,23.505902214023404,25.194742476818977,19.144767023965592,28.379700004872404,25.644561603842504,1.084581374920098,21.878196119676844,1.1254839007242408
bho_Deva,24.955816078330056,27.009928378565327,28.583533147111805,25.385477370789765,21.500576274389427,24.9058318697073,30.291904304458072,39.70788593721538,26.834311080509043,27.511559352249797,25.010267775151572,30.55013404228385,15.026565329984518,1.7870170682066473,17.697107820010206,22.214286661936846,17.67070540614915,35.95055067440241,13.452445521038802,29.332351020663396,31.037301497887686,15.649118674017009,20.782683938993358,23.292173415455007,22.24044966324376,24.50857759763091,29.543998410746763,38.398756442471885,29.50747658749446,15.541936240151424,4.266922981867474,2.824165615464361,30.172168278520857,28.207331593680156,26.650603228102653,21.909366931795358,22.093827685781005,25.8500858638002,26.959362961234856,25.194879965285722,1.7562818124152084,24.43368372543277,1.7969497890773263
bjn_Arab,21.27262070265829,11.213747765124635,8.151176071909811,5.009884741114937,14.071204834779035,8.801111897139382,8.989852490058253,4.558302330214554,24.44420481840109,10.089845260927735,9.041090743532898,9.456299758205642,12.031455052919418,7.3385384023859235,4.344262381450954,16.612630078137897,8.463171683246932,11.127978260107605,0.8114290696211536,12.693497741995015,14.633263313088474,14.42352447780107,11.727273980795667,6.6084187389356455,1.9866549797436153,5.403625167849689,13.004373564124732,4.397964950223622,15.636728386816722,7.1585061353568,12.828405821996721,7.972996335645954,8.10860984525594,9.604565281126122,11.633734794151621,12.861369324431019,1.1397501719590062,10.02025290866548,8.781295106068649,16.457736605793365,1.8826894952528466,7.075508251689716,7.394678649882541
bjn_Latn,28.426432769882933,33.96760986003148,27.183438214698135,22.112442141874283,27.897936361470745,34.49867173466053,21.099488766204274,20.751525619594894,29.83106371469338,42.73144473738677,33.38546730801879,30.41353712557498,24.448810682182824,16.250835881010296,26.13734403015079,27.72791298189486,25.79520250540889,21.687355690924687,18.61933168124203,21.355631051394045,23.546809030510953,16.325493814066412,27.41540064532221,27.577748739090048,27.629160509328226,29.295986698522665,29.06578788985032,17.709669379717948,20.024460705539653,25.24298593315747,16.335941780238333,13.210807055118485,24.773914140596652,21.463063467071912,28.803161951000856,20.560273630070427,23.410926084611493,30.003421001452814,30.701462954096385,28.70352941136172,16.294350000493573,29.373790737891458,16.392194327646102
